id   |                enunciado
   1 | = (\Phi_{bcb} (\Phi_{cb} c_{1}) c_{1} \Phi_{cbcb}) (\Phi_{cb} c_{1} (\Phi_{cbcb} c_{1} \Phi_{cb}))
   2 | = (\Phi_{bb} \Phi_{b} c_{1}) (\Phi_{cb} c_{1} \Phi_{cb})
   3 | = (\Phi_{cbb} c_{1} \Phi_{b(b,)} c_{1}) (\Phi_{b} \Phi_{K})
   4 | = (\Phi_{bb} (\Phi_{(bb,)} c_{1}) c_{1}) (\Phi_{b} \Phi_{K})
   5 | = (\Phi_{b} \Phi_{K}) (\Phi_{cb} c_{1} (\Phi_{(b,cb)} c_{1}))
   6 | = (\Phi_{b} \Phi_{K}) (\Phi_{ccb} c_{1} c_{1} \Phi_{cb(b,)})
   7 | = (\Phi_{(b,)} c_{1}) (\Phi_{K} c_{8})
   8 | = \Phi_{} (\Phi_{cb} c_{8} c_{1})
   9 | = T c_{8}
  11 | = (c_{7} c_{8}) c_{9}
  13 | = (\Phi_{cb} c_{1} (\Phi_{bcb} c_{7})) (\Phi_{cb} c_{6} \Phi_{cb})
  14 | = (\Phi_{ccb} c_{7} c_{1} \Phi_{cbb}) (\Phi_{cbb} c_{1} \Phi_{cb} c_{7})
  15 | = \Phi_{} (\Phi_{bb} c_{7} c_{7})
  16 | = c_{8} (c_{7} c_{9})
  17 | = (\Phi_{cbb} c_{1} \Phi_{cb} c_{7}) (\Phi_{cb} c_{6} \Phi_{cb})
  18 | = (\Phi_{b} (c_{1} c_{9})) (\Phi_{b} c_{7})
  19 | = (\Phi_{bb} \Phi_{b} c_{6}) (\Phi_{cb} c_{6} \Phi_{cb})
  20 | = (\Phi_{bcb} (\Phi_{cb} c_{6}) c_{6} \Phi_{cbcb}) (\Phi_{cb} c_{6} (\Phi_{cbcb} c_{6} \Phi_{cb}))
  21 | = (\Phi_{bcb} (\Phi_{cb} c_{1}) c_{6} \Phi_{cbcb}) (\Phi_{cb} c_{6} (\Phi_{cbcb} c_{1} \Phi_{cb}))
  22 | = (\Phi_{bcb} (\Phi_{cb} c_{6}) c_{1} \Phi_{cbcb}) (\Phi_{cb} c_{6} (\Phi_{cbcb} c_{1} \Phi_{cb}))
  23 | = (\Phi_{bb} \Phi_{b} c_{4}) (\Phi_{cb} c_{4} \Phi_{cb})
  24 | = (\Phi_{bcb} (\Phi_{cb} c_{4}) c_{4} \Phi_{cbcb}) (\Phi_{cb} c_{4} (\Phi_{cbcb} c_{4} \Phi_{cb}))
  25 | = \Phi_{} (\Phi_{(b,)} c_{4})
  26 | = (\Phi_{c(ccb,)} c_{4} \Phi_{cbcb} c_{1} (\Phi_{cccbcb} c_{4})) (\Phi_{bcb} (\Phi_{cb} c_{1}) c_{4} \Phi_{cbcb})  66 | = (\Phi_{cbb} c_{4} \Phi_{cb} c_{7}) (\Phi_{cb} c_{2} \Phi_{cb})
  67 | = (\Phi_{c(bb,)} c_{5} \Phi_{bcb} c_{1}) (\Phi_{cb} c_{2} \Phi_{cb})
  27 | = (\Phi_{K} T) (\Phi_{(bb,)} c_{4} c_{7})
  28 | = (\Phi_{K} c_{8}) (\Phi_{b} (c_{4} c_{8}))
  29 | = \Phi_{} (\Phi_{b} (c_{4} c_{9}))
  30 | = (\Phi_{c(ccb,)} c_{4} \Phi_{cbcb} c_{4} (\Phi_{cccbcb} c_{4})) (\Phi_{bcb} (\Phi_{cb} c_{4}) c_{4} \Phi_{cbcb})  31 | = (\Phi_{cc(bb,)} c_{7} c_{4} \Phi_{bcbb} c_{1}) (\Phi_{cb} c_{4} \Phi_{cb})
  32 | = (\Phi_{b} \Phi_{K}) (\Phi_{c(ccb,)} c_{4} c_{7} c_{4} (\Phi_{(bcbb,cb)} c_{1}))
  33 | = (\Phi_{cb} c_{4} (\Phi_{(bcb,)} c_{1})) (\Phi_{c(bb,)} c_{5} \Phi_{bcb} c_{1})
  34 | = (\Phi_{c(cb,)} c_{1} c_{4} (\Phi_{(bcb,cb)} c_{1})) (\Phi_{cb} c_{5} \Phi_{cb})
  35 | = (\Phi_{c(ccb,)} c_{4} c_{1} c_{1} \Phi_{cb(bcb,)}) (\Phi_{cb} c_{5} \Phi_{cb})
  36 | = (\Phi_{cb} c_{4} \Phi_{cb}) (\Phi_{c(cb,)} c_{5} c_{1} (\Phi_{(bcb,cb)} c_{1}))
  37 | = (\Phi_{cb} c_{4} \Phi_{cb}) (\Phi_{c(bb,)} c_{5} (\Phi_{(b,bcb)} c_{1}) c_{1})
  38 | = (\Phi_{bb} \Phi_{b} c_{5}) (\Phi_{cb} c_{5} \Phi_{cb})
  39 | = (\Phi_{bcb} (\Phi_{cb} c_{5}) c_{5} \Phi_{cbcb}) (\Phi_{cb} c_{5} (\Phi_{cbcb} c_{5} \Phi_{cb}))
  40 | = \Phi_{} (\Phi_{(b,)} c_{5})
  41 | = \Phi_{} (\Phi_{b} (c_{5} c_{8}))
  42 | = (\Phi_{K} c_{9}) (\Phi_{b} (c_{5} c_{9}))
  43 | = (\Phi_{c(ccb,)} c_{5} \Phi_{cbcb} c_{5} (\Phi_{cccbcb} c_{5})) (\Phi_{bcb} (\Phi_{cb} c_{5}) c_{5} \Phi_{cbcb})  44 | = (\Phi_{K} c_{9}) (\Phi_{(bb,)} c_{5} c_{7})
  45 | = (\Phi_{b} \Phi_{K}) (\Phi_{c(cb,)} c_{4} c_{5} \Phi_{cbcb})
  46 | = (\Phi_{b} \Phi_{K}) (\Phi_{c(cb,)} c_{5} c_{4} \Phi_{cbcb})
  47 | = (\Phi_{cb} c_{5} \Phi_{cb}) (\Phi_{c(cb,b)} c_{4} c_{5} \Phi_{cbcb} c_{7})
  48 | = (\Phi_{cb} c_{4} \Phi_{cb}) (\Phi_{c(cb,b)} c_{5} c_{4} \Phi_{cbcb} c_{7})
  49 | = (\Phi_{c(ccb,)} c_{4} \Phi_{cbcb} c_{5} (\Phi_{cccbcb} c_{4})) (\Phi_{bcb} (\Phi_{cb} c_{5}) c_{4} \Phi_{cbcb})  50 | = (\Phi_{c(ccb,)} c_{5} \Phi_{cbcb} c_{4} (\Phi_{cccbcb} c_{5})) (\Phi_{bcb} (\Phi_{cb} c_{4}) c_{5} \Phi_{cbcb})  51 | = (\Phi_{ccbb} c_{7} c_{4} \Phi_{cbb} c_{7}) (\Phi_{cb} c_{5} (\Phi_{bcb} c_{7}))
  52 | = (\Phi_{ccbb} c_{7} c_{5} \Phi_{cbb} c_{7}) (\Phi_{cb} c_{4} (\Phi_{bcb} c_{7}))
  53 | = (\Phi_{cc(bbb,)} c_{7} c_{5} \Phi_{bcbb} c_{1} c_{7}) (\Phi_{cb} c_{5} \Phi_{cb})
  54 | = (\Phi_{bb} \Phi_{K} c_{7}) (\Phi_{c(ccb,)} c_{5} c_{7} c_{5} (\Phi_{(bcbb,cb)} c_{1}))
  55 | = (\Phi_{bc(bb,)} \Phi_{K} c_{5} \Phi_{bcb} c_{1}) (\Phi_{c(ccb,)} c_{5} c_{1} \Phi_{bcbcb} (\Phi_{c(ccbbcb,)} c_{1} c_{5}))
  56 | = (\Phi_{c((cb,bb),)} c_{5} c_{1} (\Phi_{cccbcb} c_{5}) \Phi_{bcbcb} c_{1}) (\Phi_{bcb} (\Phi_{cb} c_{1}) c_{5} \Phi_{cbcb})
  57 | = (\Phi_{c(cc(b,b),)} c_{5} \Phi_{cbbcb} c_{1} (\Phi_{ccccbcb} c_{5}) c_{1}) (\Phi_{bcb} (\Phi_{cb} c_{1}) c_{5} \Phi_{cbcb})
  58 | = (\Phi_{bb} \Phi_{K} \Phi_{K}) (\Phi_{c(cc(cb,),)} c_{5} (\Phi_{(bcbcb,cbcb)} c_{1}) c_{1} c_{5} (\Phi_{c(cccccbcb,)} c_{1} c_{5}))
